TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus_Af293	Aspergillus_fumigatus_Af293;_NC_007197.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS061	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS059	Bacillus_cereus;_CP016316.1;_TOPREFPERCREADS058	Bacillus_cereus;_CP008712.1;_TOPREFPERCREADS024	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS023	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS021	Bacillus_cereus_NC7401;_AP007209.1;_TOPREFPERCREADS021	Bacillus_cereus_m1293;_CM000714.1;_TOPREFPERCREADS018	Bacillus_cereus_Q1;_CP000227.1;_TOPREFPERCREADS018
Bacillus_cereus_AH676	Bacillus_cereus_AH676;_CM000738.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_ATCC_10987	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_F	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_FRI-35	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS082	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS076	Bacillus_cereus;_CP016316.1;_TOPREFPERCREADS063	Bacillus_thuringiensis_serovar_finitimus_YBT-020;_CP002508.1;_TOPREFPERCREADS062	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS053	Bacillus_cereus_NC7401;_AP007209.1;_TOPREFPERCREADS052	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS052	Bacillus_anthracis;_CP007618.1;_TOPREFPERCREADS051	Bacillus_anthracis;_CP009325.1;_TOPREFPERCREADS051
Bacillus_cereus_m1293	Bacillus_cereus_m1293;_CM000714.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_thuringiensis	Bacillus_thuringiensis_serovar_morrisoni;_CP010577.1;_TOPREFPERCREADS100	Bacillus_thuringiensis_IBL_4222;_CM000759.1;_TOPREFPERCREADS100	Bacillus_thuringiensis;_CP014847.1;_TOPREFPERCREADS100	Bacillus_thuringiensis;_CP020002.1;_TOPREFPERCREADS100	Bacillus_thuringiensis_HD-789;_CP003763.1;_TOPREFPERCREADS100	Bacillus_thuringiensis_serovar_alesti;_CP015176.1;_TOPREFPERCREADS050	Bacillus_thuringiensis_serovar_tolworthi;_AP014864.1;_TOPREFPERCREADS050	Bacillus_thuringiensis_Bt407;_CP003889.1;_TOPREFPERCREADS050	Bacillus_thuringiensis_Bt407;_CM000747.1;_TOPREFPERCREADS050	Bacillus_thuringiensis_serovar_chinensis_CT-43;_CP001907.1;_TOPREFPERCREADS050
Bacillus_thuringiensis_DAR_81934	Homo_sapiens;_NC_000008.11;_TOPREFPERCREADS100	Plasmodium_falciparum_3D7;_NC_004316.3;_TOPREFPERCREADS100	Plasmodium_falciparum_3D7;_NC_004317.2;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1;_CM000756.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3;_EQ999974.1;_TOPREFPERCREADS100	Schistosoma_mansoni;_NC_031496.1;_TOPREFPERCREADS050	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_petrii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borrelia_duttonii_Ly	Borrelia_duttonii_Ly;_CP000980.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_mallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei_1710a	Homo_sapiens;_NW_003315918.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_1710a;_GG704880.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_caviae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_felis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_muridarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pecorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
