Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
African_swine_fever_virus	NA	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0
Bacillus_cereus_group	Bacillus_cereus_ATCC_4342	0.114	1	9	9	5234797
Bacillus_thuringiensis	Bacillus_thuringiensis	0.475	7	20	20	25529
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3	0.027	0	2	2	8458534
Bordetella	Bordetella_flabilis	1	1	1	1	5835727
Bordetella_pertussis	NA	0	0	0	0	0
Bordetella_petrii	Bordetella_petrii	0.256	2	9	9	5287950
Borreliaceae	Borrelia_recurrentis_A1	0.052	0	3	3	930981
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Brucella	Brucella_suis_VBI22	1	1	1	1	2108637
Brucella_abortus	NA	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0
Burkholderia_cepacia	NA	0	0	0	0	0
Burkholderia_mallei	NA	0	0	0	0	0
Burkholderia_pseudomallei	Burkholderia_mallei_SAVP1	1	1	1	1	3497479
Chlamydia_abortus	NA	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0
Clostridium	Clostridium	0.097	18	533	533	4123727
Clostridium_aceticum	Clostridium_aceticum	1	1	1	1	4201318
Clostridium_argentinense	Clostridium_argentinense	0.061	1	25	25	4662988
Clostridium_bornimense	Clostridium_bornimense	0.507	2	4	4	2917864
Clostridium_botulinum	Clostridium_botulinum	1	1	1	1	4393047
Clostridium_botulinum_BKT015925	NA	0	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	NA	0	0	0	0	0
Clostridium_butyricum	Clostridium_butyricum	1	2	2	2	3809831
Clostridium_cochlearium	Clostridium_cochlearium	0.009	0	82	82	2435419
Clostridium_formicaceticum	Clostridium_formicaceticum	1	2	2	2	4586755
Clostridium_kluyveri	Clostridium_kluyveri_DSM_555	0.022	0	34	34	3964618
Clostridium_pasteurianum_BC1	Clostridium_pasteurianum_BC1	0.053	0	2	2	4990707
Clostridium_perfringens	Clostridium_perfringens	0.333	1	3	3	3346739
Clostridium_perfringens_F262	Selenomonas_ruminantium_subsp._lactilytica_TAM6421	0.154	2	14	14	3003680
Clostridium_sp._BNL1100	Clostridium_sp._BNL1100	1	1	1	1	4613747
Clostridium_sp._SY8519	Clostridium_sp._SY8519	0.166	28	424	424	2835737
Clostridium_sporogenes	NA	0	0	0	0	0
Clostridium_taeniosporum	Clostridium_taeniosporum	1	1	1	1	3264845
Clostridium_tetani	NA	0	0	0	0	0
Clostridium_tetani_12124569	Clostridium_tetani_12124569	0.119	2	17	17	2807481
Clostridium_tetani_E88	NA	0	0	0	0	0
Clostridium_tyrobutyricum	Clostridium_tyrobutyricum	1	1	1	1	3011209
Coccidioides_immitis	NA	0	0	0	0	0
Coccidioides_posadasii	NA	0	0	0	0	0
Corynebacterium_diphtheriae	NA	0	0	0	0	0
Cowpox-Vaccinia_virus	NA	0	0	0	0	0
Cowpox_virus	NA	0	0	0	0	0
Coxiella_burnetii	Coxiella_burnetii__MSU_Goat_Q177_	0	0	2	2	2063021
Cryptococcus_neoformans	NA	0	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_A4	NA	0	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	NA	0	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	NA	0	0	0	0	0
Enterobius_vermicularis	Enterobius_vermicularis	0.25	2	10	10	864
Epstein-barr_virus_strain_ag876	NA	0	0	0	0	0
Epstein-barr_virus_strain_p3hr-1	NA	0	0	0	0	0
Escherichia_coli	Escherichia_coli_KLY	0.458	8844	32123	32123	4718545
Escherichia_coli_ATCC_25922	Escherichia_coli_ATCC_25922	0.044	0	3	3	24185
Escherichia_coli_ATCC_8739	Escherichia_coli_ATCC_8739	1	2	2	2	4746218
Escherichia_coli_B7A	Escherichia_coli_B7A	0.429	2	11	11	66341
Escherichia_coli_CFT073	Escherichia_coli_CFT073	0.53	0	2	2	5231428
Escherichia_coli_ECC-1470	Escherichia_coli_ECC-1470	0.048	0	3	3	100061
Escherichia_coli_ETEC_H10407	Escherichia_coli_ETEC_H10407	1	2	2	2	66681
Escherichia_coli_O111	NA	0	0	0	0	0
Escherichia_coli_O127:H6	Escherichia_coli_O127:H6_str._E2348/69	1	2	2	2	4965553
Escherichia_coli_O139:H28_str._E24377A	Escherichia_coli_O139:H28_str._E24377A	1	1	1	1	5033
Escherichia_coli_O145:H28	Escherichia_coli_O145:H28_str._RM13516	0.5	2	4	4	5402276
Escherichia_coli_O157:H16	Escherichia_coli_O157:H16	0.829	2	4	4	5104557
Escherichia_coli_O157:H7	NA	0	0	0	0	0
Escherichia_coli_O26	NA	0	0	0	0	0
Escherichia_coli_O26:H11_str._11368	Escherichia_coli_O26:H11_str._11368	1	2	2	2	5697240
Escherichia_coli_O7:K1_str._CE10	Escherichia_coli_O7:K1_str._CE10	1	4	4	4	5313531
Escherichia_coli_RS218	Escherichia_coli_RS218	1	1	1	1	5087638
Escherichia_coli_SMS-3-5	Escherichia_coli_SMS-3-5	1	1	1	1	5068389
Escherichia_coli_UMNF18	Escherichia_coli_UMNF18	0.634	4	9	9	32487
Escherichia_coli_UMNK88	Escherichia_coli_UMNK88	1	1	1	1	5186416
Escherichia_coli_VR50	Escherichia_coli_VR50	0.656	41	71	71	5000386
Escherichia_coli__BL21-Gold(DE3)pLysS_AG_	Escherichia_coli__BL21-Gold(DE3)pLysS_AG_	1	1	1	1	4570938
Fusobacterium	NA	0	0	0	0	0
Fusobacterium_hwasookii	Fusobacterium_hwasookii_ChDC_F206	1	1	1	1	2424685
Fusobacterium_nucleatum	Fusobacterium_nucleatum_subsp._animalis_4_8	1	1	1	1	2261267
Fusobacterium_nucleatum_subsp._animalis	Fusobacterium_nucleatum_subsp._animalis_21_1A	1	1	1	1	2154007
Fusobacterium_nucleatum_subsp._polymorphum	Fusobacterium_nucleatum_subsp._polymorphum	1	1	1	1	2443126
Haemophilus_influenzae	Haemophilus_influenzae_10810	0.597	8	14	14	1981535
Haemophilus_influenzae_2019	Haemophilus_influenzae_2019	1	1	1	1	1969659
Haemophilus_influenzae_F3031	Haemophilus_influenzae_F3031	1	1	1	1	1985832
Haemophilus_influenzae_F3047	Haemophilus_influenzae_F3047	1	1	1	1	2007018
Haemophilus_influenzae_KR494	Haemophilus_influenzae_KR494	1	3	3	3	1856176
Haemophilus_influenzae_PittEE	Haemophilus_influenzae_PittEE	1	1	1	1	1813033
Haemophilus_influenzae_PittGG	Haemophilus_influenzae_PittGG	1	1	1	1	1887192
Haemophilus_influenzae_Rd_KW20	NA	0	0	0	0	0
Helicobacter_pylori	NA	0	0	0	0	0
Hepatitis_B_virus	NA	0	0	0	0	0
Hepatitis_E_virus	NA	0	0	0	0	0
Hepatitis_delta_virus	NA	0	0	0	0	0
Herpes_simplex_virus_unknown_type	NA	0	0	0	0	0
Histoplasma_capsulatum	NA	0	0	0	0	0
Human_adenovirus_1	NA	0	0	0	0	0
Human_adenovirus_11	NA	0	0	0	0	0
Human_adenovirus_11+34	NA	0	0	0	0	0
Human_adenovirus_11a	NA	0	0	0	0	0
Human_adenovirus_11p	NA	0	0	0	0	0
Human_adenovirus_12	NA	0	0	0	0	0
Human_adenovirus_14	NA	0	0	0	0	0
Human_adenovirus_14a	NA	0	0	0	0	0
Human_adenovirus_14p	NA	0	0	0	0	0
Human_adenovirus_14p1	NA	0	0	0	0	0
Human_adenovirus_15	NA	0	0	0	0	0
Human_adenovirus_15/H9	NA	0	0	0	0	0
Human_adenovirus_16	NA	0	0	0	0	0
Human_adenovirus_16p	NA	0	0	0	0	0
Human_adenovirus_17	NA	0	0	0	0	0
Human_adenovirus_18	NA	0	0	0	0	0
Human_adenovirus_19	NA	0	0	0	0	0
Human_adenovirus_19C	NA	0	0	0	0	0
Human_adenovirus_19a	NA	0	0	0	0	0
Human_adenovirus_19p	NA	0	0	0	0	0
Human_adenovirus_1_strain_Adenoid_71	NA	0	0	0	0	0
Human_adenovirus_2	NA	0	0	0	0	0
Human_adenovirus_20	NA	0	0	0	0	0
Human_adenovirus_21	NA	0	0	0	0	0
Human_adenovirus_21a	NA	0	0	0	0	0
Human_adenovirus_22	NA	0	0	0	0	0
Human_adenovirus_22H8	NA	0	0	0	0	0
Human_adenovirus_23	NA	0	0	0	0	0
Human_adenovirus_24	NA	0	0	0	0	0
Human_adenovirus_25	NA	0	0	0	0	0
Human_adenovirus_26	NA	0	0	0	0	0
Human_adenovirus_27	NA	0	0	0	0	0
Human_adenovirus_28	NA	0	0	0	0	0
Human_adenovirus_29	NA	0	0	0	0	0
Human_adenovirus_3+11p	NA	0	0	0	0	0
Human_adenovirus_3+7	NA	0	0	0	0	0
