TargetNode	01	02	03	04	05	06	07	08	09	10
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus_Af293	Aspergillus_fumigatus_Af293;_NC_007198.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_AS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_strain_GS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK_virus_variant_RF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_anthracis	Bacillus_anthracis_str._Turkey32;_CP009315.1;_TOPREFPERCREADS100	Bacillus_anthracis_str._A16R;_CP001974.1;_TOPREFPERCREADS000	Bacillus_anthracis_str._H9401;_CP002091.1;_TOPREFPERCREADS000	Bacillus_anthracis_str._CDC_684;_CP001215.1;_TOPREFPERCREADS000	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS000	Bacillus_sp._ABP14;_CP017016.1;_TOPREFPERCREADS000	Bacillus_anthracis_str._Ames;_AE016879.1;_TOPREFPERCREADS000	Bacillus_cereus_E33L;_CP000001.1;_TOPREFPERCREADS000	Bacillus_cereus_E33L;_CP009968.1;_TOPREFPERCREADS000	Bacillus_anthracis_str._V770-NP-1R;_CP009598.1;_TOPREFPERCREADS000
Bacillus_cereus	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus;_CP016316.1;_TOPREFPERCREADS075	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS070	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS066	Bacillus_cereus_NC7401;_AP007209.1;_TOPREFPERCREADS025	Bacillus_cereus_BDRD-ST26;_CM000724.1;_TOPREFPERCREADS025	Bacillus_cereus_AH187;_CP001177.1;_TOPREFPERCREADS025	Bacillus_cereus_Q1;_CP000227.1;_TOPREFPERCREADS020	Bacillus_sp._ABP14;_CP017016.1;_TOPREFPERCREADS012	Bacillus_cereus;_CP008712.1;_TOPREFPERCREADS012
Bacillus_cereus_AH676	Bacillus_cereus_AH676;_CM000738.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_ATCC_10987	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_cereus_group	Bacillus_cereus_ATCC_10987;_AE017194.1;_TOPREFPERCREADS100	Bacillus_cereus_F;_CM001787.1;_TOPREFPERCREADS077	Bacillus_cereus_FRI-35;_CP003747.1;_TOPREFPERCREADS077	Bacillus_thuringiensis_serovar_finitimus_YBT-020;_CP002508.1;_TOPREFPERCREADS077	Bacillus_cereus_95/8201;_CM000727.1;_TOPREFPERCREADS066	Bacillus_thuringiensis;_CP009335.1;_TOPREFPERCREADS066	Bacillus_cereus_AH820;_CP001283.1;_TOPREFPERCREADS066	Bacillus_thuringiensis_serovar_andalousiensis_BGSC_4AW1;_CM000754.1;_TOPREFPERCREADS066	Bacillus_cereus;_CP009596.1;_TOPREFPERCREADS066	Bacillus_anthracis_str._CDC_684;_CP001215.1;_TOPREFPERCREADS055
Bacillus_thuringiensis_DAR_81934	Histoplasma_capsulatum_NAm1;_NW_001813971.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1;_CM000756.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3;_EQ999974.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_petrii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borrelia_duttonii_Ly	Borrelia_duttonii_Ly;_CP000980.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_mallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei_1710a	Homo_sapiens;_NT_187533.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_abortus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_caviae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_felis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_muridarum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pecorum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_pneumoniae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_psittaci	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia_trachomatis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
