Taxon	Reference	0	1	2	3	4	5	6	7	8	9	10	higher
African_swine_fever_virus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus_Af293	Aspergillus_fumigatus_Af293	3923553	0	152	0	0	0	0	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus	Bacillus_cereus_ATCC_10987	5208433	11694	3186	666	304	0	0	0	0	0	0	0
Bacillus_cereus_ATCC_10987	Bacillus_cereus_ATCC_10987	5221631	2360	292	0	0	0	0	0	0	0	0	0
Bacillus_cereus_group	Bacillus_cereus_ATCC_10987	5217872	4897	1514	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_DAR_81934	Homo_sapiens	248956349	73	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	6228242	2	14	3	12	15	24	14	0	18	0	2852
Bacillus_thuringiensis_serovar_pondicheriensis_BGSC_4BA1	Bacillus_thuringiensis_serovar_pondicheriensis_BGSC_4BA1	6031402	73	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis_ER-3	Blastomyces_dermatitidis_ER-3	8458084	154	4	12	280	0	0	0	0	0	0	0
Bordetella	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_pertussis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliaceae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_mallei	NA	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei	Burkholderia_pseudomallei	3385786	0	0	228	0	0	0	0	0	0	0	0
Burkholderia_pseudomallei_1710a	Homo_sapiens	46709831	152	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_psittaci	NA	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	Clostridium_saccharoperbutylacetonicum_N1-4(HMT)	6529882	223	152	0	0	0	0	0	0	0	0	0
Clostridium_beijerinckii	Clostridium_beijerinckii_NCIMB_8052	5989496	8788	2120	228	0	0	0	0	0	0	0	0
Clostridium_beijerinckii_NCIMB_8052	Clostridium_beijerinckii_NCIMB_8052	5990143	7925	2564	0	0	0	0	0	0	0	0	0
Clostridium_botulinum	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_BKT015925	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	NA	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_saccharoperbutylacetonicum	Clostridium_saccharoperbutylacetonicum	6216382	76	0	0	0	0	0	0	0	0	0	0
